Megnevezés;Kategória;Rost
Áfonya;Aszalt gyümölcsök;7,5
Áfonya;Friss gyümölcsök;2,4
Alma;Aszalt gyümölcsök;11,2
Alma;Friss gyümölcsök;1,3
Alma – Birsalma;Friss gyümölcsök;5,9
Alma – Gránátalma;Friss gyümölcsök;2,2
Ananász;Aszalt gyümölcsök;4,3
Ananász;Friss gyümölcsök;0,4
Árpagyöngy;Gabonák és lisztek;1,5
Avokádó;Friss gyümölcsök;6,7
Banán;Friss gyümölcsök;2,6
Bazsalikom;Zöldségek;3,1
Brazil dió;Magvak;9,6
Brokkoli;Zöldségek;0,8
Bulgur;Gabonák és lisztek;10,3
Burgonya;Zöldségek;0,6
Búza – Puffasztott;Gabonák és lisztek;2,5
Búza (búzamag);Gabonák és lisztek;1,7
Búzakorpa;Gabonák és lisztek;50,1
Búzaliszt (finomított);Gabonák és lisztek;0,2
Cékla;Zöldségek;0,9
Citrom;Friss gyümölcsök;2,2
Cukkini;Zöldségek;1,1
Cseresznye;Aszalt gyümölcsök;5,5
Cseresznye;Friss gyümölcsök;0,4
Csicseriborsó;Zöldségek;9,5
Csicsóka;Zöldségek;3,1
Datolya;Aszalt gyümölcsök;3,8
Datolyaszilva;Friss gyümölcsök;3,6
Dió;Magvak;2,8
Édesburgonya;Zöldségek;3
Egres;Friss gyümölcsök;2,7
Eper;Aszalt gyümölcsök;7,1
Eper;Friss gyümölcsök;0,8
Fehérrépa;Zöldségek;3,5
Fokhagyma;Zöldségek;0,8
Földimogyoró;Magvak;10,1
Füge;Aszalt gyümölcsök;6,5
Füge;Friss gyümölcsök;2,9
Gesztenye;Magvak;2,8
Görögdinnye;Friss gyümölcsök;0,8
Grapefruit;Friss gyümölcsök;0,4
Gyömbér;Aszalt gyümölcsök;5,9
Hagyma – Lilahagyma;Zöldségek;1,4
Hagyma – Póréhagyma;Zöldségek;1,3
Hagyma – Újhagyma;Zöldségek;2,8
Hagyma – Vöröshagyma;Zöldségek;0,7
Hajdina;Gabonák és lisztek;25,7
Kajszibarack;Friss gyümölcsök;0,8
Káposzta;Zöldségek;0,7
Karalábé;Zöldségek;0,8
Karfiol;Zöldségek;0,9
Kelbimbó;Zöldségek;1,4
Kelkáposzta;Zöldségek;0,6
Kesudió;Magvak;1,4
Kínai kel;Zöldségek;0,5
Kiwi;Friss gyümölcsök;0,8
Kókusz;Friss gyümölcsök;9
Köles;Gabonák és lisztek;1,1
Körte;Aszalt gyümölcsök;7,5
Körte;Friss gyümölcsök;2,6
Kukorica;Zöldségek;1,5
Kukoricadara;Gabonák és lisztek;9,2
Kukoricakeményítő;Gabonák és lisztek;1,1
Kukoricaliszt;Gabonák és lisztek;6
Kuszkusz;Gabonák és lisztek;5
Lencse;Zöldségek;11,7
Lenmag;Magvak;2,3
Liszt – Graham liszt;Gabonák és lisztek;19
Liszt – Kókuszliszt;Gabonák és lisztek;39
Liszt – Konjacliszt;Gabonák és lisztek;82,8
Liszt – Lenmagliszt;Gabonák és lisztek;27,9
Liszt – Mandulaliszt;Gabonák és lisztek;14
Liszt – Rizsliszt;Gabonák és lisztek;2,3
Liszt- Zabpehelyliszt;Gabonák és lisztek;10
Mák;Magvak;10
Málna;Friss gyümölcsök;5,6
Mandarin;Friss gyümölcsök;0,5
Mandula;Magvak;3,7
Mangó;Aszalt gyümölcsök;5,2
Mangó;Friss gyümölcsök;1,8
Mazsola;Aszalt gyümölcsök;2,8
Meggy;Aszalt gyümölcsök;4,3
Meggy;Friss gyümölcsök;0,3
Mogyoró;Magvak;3,2
Napraforgó mag;Magvak;6,3
Narancs;Friss gyümölcsök;0,5
Nektarin;Friss gyümölcsök;1,2
Őszbarack;Friss gyümölcsök;1
Őszibarack;Aszalt gyümölcsök;12,8
Padlizsán;Zöldségek;0,7
Pamelo;Friss gyümölcsök;1
Papaya;Aszalt gyümölcsök;12
Papaya;Friss gyümölcsök;1,8
Paradicsom;Aszalt gyümölcsök;12,3
Paradicsom;Zöldségek;0,5
Paraj / Spenót;Zöldségek;0,5
Pisztácia;Magvak;10,3
Quinoa;Gabonák és lisztek;5,9
Retek;Zöldségek;0,8
Ribizli;Friss gyümölcsök;4,3
Ringló;Friss gyümölcsök;0,6
Rizs;Gabonák és lisztek;0,5
Rizs – Barna rizs;Gabonák és lisztek;3,4
Rozsliszt;Gabonák és lisztek;1
Saláta – Fejes saláta;Zöldségek;0,6
Saláta – Jégsaláta;Zöldségek;1,2
Sárgabarack;Aszalt gyümölcsök;7,3
Sárgadinnye;Aszalt gyümölcsök;10,2
Sárgadinnye;Friss gyümölcsök;0,9
Sárgarépa – Répa;Zöldségek;1
Sóska;Zöldségek;0,5
Sütőtök;Zöldségek;0,7
Szeder;Friss gyümölcsök;4
Szezámmag;Magvak;11,9
Szilva;Aszalt gyümölcsök;1,6
Szilva;Friss gyümölcsök;0,5
Szőlő;Friss gyümölcsök;1,3
Torma;Zöldségek;7,5
Tök;Zöldségek;0,8
Tökmag;Magvak;6,3
Tönkölybúza;Gabonák és lisztek;8
Uborka;Zöldségek;0,6
Vitaminpaprika;Zöldségek;2
Vöröskáposzta;Zöldségek;2,5
Zab;Gabonák és lisztek;10,8
Zabkorpa;Gabonák és lisztek;27,8
Zabliszt;Gabonák és lisztek;6,5
Zabpehely;Gabonák és lisztek;1
Zeller;Zöldségek;1
Zöldbab;Zöldségek;1,3
Zöldborsó – Cukorborsó;Zöldségek;2,7
Zöldpaprika (TV paprika);Zöldségek;0,9
